ym,hot_nogi,hot_sisl,vhot_nogi,vhot_sisl,ehot_nogi,ehot_sisl,trop_nogi,trop_sisl,germ_nogi,germ_sisl,tmax_nogi,tmax_sisl,hot_gg,vhot_gg,ehot_gg,tmax_gg,hot_gw,vhot_gw,ehot_gw,tmax_gw,hot_gb,vhot_gb,ehot_gb,tmax_gb,hot_cn,vhot_cn,ehot_cn,tmax_cn
2018-09,0.6697222222222222,0.8434868746904408,0.0,0.0,0.0,0.0,3.576388888888889,3.525408618127786,0.3465740740740741,0.44883605745418526,25.126863580246916,25.600761653183643,1.0,0.0,0.0,26.073333333333334,0.4,0.0,0.0,23.068,0.0,0.0,0.0,25.231111111111108,1.0,0.0,0.0,25.473333333333333
2018-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.404259707287935,18.902572283734628,0.0,0.0,0.0,18.598709677419357,0.0,0.0,0.0,16.130967741935486,0.0,0.0,0.0,19.11182795698925,0.0,0.0,0.0,18.866935483870968
2018-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.364340895061728,13.88499779869022,0.0,0.0,0.0,13.27,0.0,0.0,0.0,11.158666666666667,0.0,0.0,0.0,14.030000000000001,0.0,0.0,0.0,13.9475
2018-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.936948327359618,5.359961974148811,0.0,0.0,0.0,4.27483870967742,0.0,0.0,0.0,2.878064516129032,0.0,0.0,0.0,5.946236559139785,0.0,0.0,0.0,5.430645161290322
2019-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.899424731182796,5.148734335639382,0.0,0.0,0.0,4.429032258064516,0.0,0.0,0.0,3.0458064516129033,0.0,0.0,0.0,5.944086021505377,0.0,0.0,0.0,5.040322580645161
2019-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8843108465608465,7.030813580508974,0.0,0.0,0.0,6.301428571428572,0.0,0.0,0.0,5.240714285714286,0.0,0.0,0.0,8.270238095238096,0.0,0.0,0.0,6.8125
2019-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.885293757467144,13.057808187807229,0.0,0.0,0.0,12.876774193548385,0.0,0.0,0.0,10.912903225806451,0.0,0.0,0.0,14.548387096774194,0.0,0.0,0.0,12.74274193548387
2019-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.69674089506173,17.8149511309229,0.0,0.0,0.0,18.162666666666667,0.0,0.0,0.0,16.285333333333334,0.0,0.0,0.0,18.91111111111111,0.0,0.0,0.0,17.497500000000002
2019-05,2.530138888888889,2.100297176820208,0.2821296296296296,0.2656100379725937,0.0,0.0,0.0,0.0,0.005555555555555556,0.06868086511474326,25.478069743130224,25.232019630712532,3.0,0.2,0.0,26.07483870967742,2.4,0.4,0.0,24.82516129032258,4.0,0.6666666666666666,0.0,26.698924731182796,1.25,0.0,0.0,24.544354838709676
2019-06,4.6570833333333335,3.6788344064718506,0.24458333333333332,0.25070166749215783,0.0,0.0,2.259212962962963,2.388426613835232,1.4078703703703705,0.7369324748225193,26.890411574074072,26.804824115348634,5.8,0.0,0.0,27.628666666666664,4.4,0.2,0.0,26.044,7.333333333333333,1.0,0.0,27.94666666666667,1.75,0.25,0.0,26.284166666666668
2019-07,11.925324074074075,12.069489846458643,3.364259259259259,2.6348357272577183,0.8019444444444445,0.3900610863463761,19.88875,20.103136866435527,14.133379629629628,14.572940399537725,29.014847222222226,29.1670833000474,15.6,4.8,1.4,29.97483870967742,9.2,3.4,1.4,28.014838709677417,12.666666666666666,4.333333333333333,0.0,29.325806451612905,10.75,1.5,0.0,28.907258064516128
2019-08,18.19458333333333,19.055819712729072,8.413796296296296,8.82862803368004,2.873935185185185,2.8079082053822026,22.44787037037037,22.195905563810467,18.389814814814812,19.29476638599967,30.678438316236143,30.996283442263273,18.4,10.0,4.0,31.181935483870966,14.8,6.2,2.8,29.549032258064518,21.333333333333332,10.0,2.6666666666666665,31.106451612903225,18.75,8.5,2.25,30.916129032258063
2019-09,1.7409722222222221,1.3961201915139507,0.0,0.0,0.0,0.0,8.747314814814814,9.333234274393263,2.415925925925926,2.5332342743932643,26.0548274691358,26.423264982664687,1.2,0.0,0.0,26.454,1.8,0.0,0.0,24.762,3.0,0.0,0.0,26.211111111111112,0.75,0.0,0.0,26.406666666666666
