unit,county,eup,qty_t,n_months,active_months,gap_max,winter_share,summer_share,spring_share,autumn_share,cv_month,peak_month,min_share,price,type
남원시·사매면,남원시,사매면,53.982,41,9,2,29.309769923307776,0.5927901893223668,15.405135045015006,0.4149531325256568,1.738995318269908,3,0.0,2157.0674105627804,혼재·불명
정읍시·농소동,정읍시,농소동,53.78845,104,12,0,18.587633590482717,23.019254133554696,20.29246055612311,11.178515090135521,0.37995138420146196,7,4.203969439535811,4075.107085219968,시설
고창군·(미상),고창군,(미상),52.915,43,12,0,29.12028725314183,33.960124728337895,5.076065387886232,11.834073514126429,0.7661108034180996,7,0.559387697250307,4694.2940998582635,시설
익산시·금마면,익산시,금마면,43.25,40,12,0,12.147976878612717,21.50751445086705,4.402312138728323,42.797687861271676,0.8924600435803436,9,1.9052023121387283,4112.200960046243,시설
남원시·금동,남원시,금동,40.535599999999995,86,12,0,20.16992470815777,13.69068177108517,25.2568112967367,7.854823907873573,0.49111862442380727,4,1.9341023692754027,3043.683823355273,시설
장수군·장계면,장수군,장계면,38.582300000000004,65,10,2,2.799211037185445,39.87916739022816,9.70393159557621,28.761893407080446,0.9665161426791379,8,0.3213908968620326,3908.188448874224,노지(고랭지)
무주군·무주읍,무주군,무주읍,37.6565,77,11,1,3.112344482360284,49.278345040032946,9.703504043126685,16.724868216642548,1.037044655931728,7,0.4673827891599061,2926.348704446775,노지(고랭지)
진안군·부귀면,진안군,부귀면,35.7735,64,10,2,1.1516904971557158,45.985156610340056,11.234573077836945,16.604469789089688,1.2017665860787696,7,0.022362922274868264,4868.7553128433065,노지(고랭지)
무주군·(미상),무주군,(미상),32.326299999999996,59,10,2,2.3726810677374153,46.7523347862267,9.051453460495015,21.36650343528335,0.9975215506203096,7,0.0,4566.231366719978,노지(고랭지)
완주군·비봉면,완주군,비봉면,24.825,62,12,0,16.966767371601208,15.959718026183285,27.26283987915408,22.521651560926482,0.630542781594289,4,2.5619335347432024,3396.889562175227,시설
장수군·천천면,장수군,천천면,19.2735,52,12,0,9.660933405971932,24.64523828054064,6.6723739850053185,37.65532985705762,0.7782378543936386,10,1.0792020131268323,5444.824067138818,시설(추정)
정읍시·(미상),정읍시,(미상),8.289,58,12,0,2.9919169984316567,22.330799855229824,41.79032452648087,14.344311738448546,1.0019684443632257,5,0.5066956207021354,2456.7505100735916,혼재·불명
