variety,wk,산지,물량t,중도매,소매,도매배율,소매배율,소매_중도매,농가몫%,ym
청상추,2026-02-09,3817.7388069310855,164.159,5984.0,14618.4,1.5674199578913253,3.829072846329971,2.4429144385026738,26.115982644688103,2026-02
청상추,2026-02-16,3024.160090360346,76.704,5360.0,14185.5,1.7723929421214355,4.690723895608885,2.6465485074626867,21.31867111036161,2026-02
청상추,2026-02-23,1973.2727751667917,158.731,3696.4,12401.2,1.8732331619421245,6.2845847548632925,3.354939941564766,15.911950256159013,2026-02
청상추,2026-03-02,1924.3387965635693,150.214,3107.75,11356.25,1.614970298135512,5.901377668152653,3.654171024052771,16.94519578702097,2026-03
청상추,2026-03-09,2123.0343806506944,144.584,2994.6,11214.2,1.4105282643054404,5.282156569015585,3.7448073198423835,18.931661470730806,2026-03
청상추,2026-03-16,2878.8336483160742,160.013,3707.0,10481.6,1.2876742642522425,3.640918955539872,2.8275155111950365,27.465593500191517,2026-03
청상추,2026-03-23,2667.8593619986123,167.136,3849.0,10213.6,1.442729723622516,3.8283877124424346,2.6535723564562224,26.120656399297136,2026-03
청상추,2026-03-30,2223.360671515419,180.94,3671.0,10286.2,1.651104135748648,4.626419875003472,2.8020157995096704,21.614985820958363,2026-03
청상추,2026-04-06,1955.9070037353958,159.287,3441.0,10447.6,1.759286097666387,5.341562753263396,3.0362104039523397,18.72111301863965,2026-04
청상추,2026-04-13,3159.961525298001,155.704,3627.0,10558.0,1.1477987851950047,3.3411799211714532,2.9109456851392337,29.92954655519986,2026-04
청상추,2026-04-20,2731.0975436967815,178.274,3875.0,10637.8,1.4188435008274534,3.89506410144575,2.745238709677419,25.67351843141234,2026-04
청상추,2026-04-27,3628.383774675325,150.92,3916.25,10538.0,1.0793373146837075,2.9043234272931784,2.6908394510054263,34.43142697547281,2026-04
청상추,2026-05-04,3323.9207303192475,177.699,4273.75,10025.25,1.2857556923716185,3.016091782380478,2.345773618016964,33.15548969172088,2026-05
청상추,2026-05-11,2107.688004843238,170.96,3779.0,9327.0,1.7929598647030625,4.425228012195148,2.4681132574755225,22.597705637860386,2026-05
청상추,2026-05-18,1804.0038778284138,150.968,3429.0,9078.4,1.900771967368324,5.032361688117992,2.647535724701079,19.8713856828121,2026-05
청상추,2026-05-25,3150.3972680573534,159.921,4498.75,9175.75,1.4279945090144421,2.912569183904255,2.039622117254793,34.33394837541731,2026-05
청상추,2026-06-01,3659.7154543913175,164.552,5405.0,9739.0,1.4768907767172181,2.6611358509618848,1.8018501387604071,37.5779387451619,2026-06
청상추,2026-06-08,4259.750252052828,174.15,6191.0,10353.6,1.453371590744429,2.430565030194075,1.6723631077370378,41.14269676298898,2026-06
청상추,2026-06-15,3327.695212765102,236.3005,5997.0,10514.6,1.8021482186816251,3.1597244722610998,1.7533099883274972,31.648329111569645,2026-06
청상추,2026-06-22,2845.113957207449,227.4508,5280.0,10821.2,1.855813186893383,3.8034328897747494,2.0494696969696973,26.292037456173517,2026-06
청상추,2026-06-29,4863.3159183036905,278.605,7279.8,11496.4,1.4968799317769124,2.3639015423061203,1.5792192093189372,42.30294629887348,2026-06
청상추,2026-07-06,3559.311351095335,412.7688,6888.8,11791.8,1.9354305708265886,3.312944229049031,1.7117349901289047,30.184631278476022,2026-07
청상추,2026-07-13,5650.359839298081,495.271,8343.75,12069.75,1.47667586442362,2.1361028931388146,1.446561797752809,46.814224315317894,2026-07
청상추,2026-07-20,5199.102567395039,473.247,8361.4,13719.4,1.608239093499823,2.63880156664691,1.6408017796062861,37.89599084067116,2026-07
청상추,2026-07-27,6002.96865749755,393.095,9397.4,14816.2,1.5654587815085281,2.468145486899212,1.5766275778406795,40.51625016871769,2026-07
청상추,2026-08-03,6113.989566113427,349.6075,9746.4,15117.8,1.5941145948333115,2.472657147436083,1.5511163096117542,40.442323394365765,2026-08
청상추,2026-08-10,7936.115570000644,32.6447,10139.0,16841.0,1.27757716108955,2.1220709113235148,1.6610119341157905,47.12377869485567,2026-08
