crop_id,county_id,n_obs,skipped,target_source,params_source,baseline_mape,best_alpha,best_blend_w,use_gpj_feature,feature_variant,model_mape,n_folds,consensus_alpha,consensus_blend_w,consensus_mape,model_mape_own
grape,sunchang,4,True,origin,,,,,,,,,,,,
grape,wanju,61,False,origin,own,41.93352680371035,2.0,0.6,False,,45.28611937977475,5.0,,,,
greenonion,buan,86,False,origin,own,60.989276506903,50.0,0.4,False,,51.98482476660964,6.0,,,,
greenonion,gimje,68,False,origin,own,135.2058622360523,10.0,0.2,False,,122.4175301391731,6.0,,,,
greenonion,gochang,83,False,origin,own,54.16440064815287,2.0,0.3,False,,38.2367699890187,6.0,,,,
greenonion,gunsan,68,False,origin,own,37.675478231666865,20.0,0.0,False,,30.6882228897088,5.0,,,,
greenonion,iksan,104,False,origin,own,41.74742742586624,20.0,0.0,False,leafy_weather,26.161052923782837,6.0,,,,
greenonion,imsil,10,True,origin,,,,,,,,,,,,
greenonion,jangsu,82,False,origin,own,32.162465996944064,5.0,0.6,False,,29.916875472546668,6.0,,,,
greenonion,jeongeup,96,False,origin,own,30.80060706502988,3.0,0.5,False,,28.295591222226275,6.0,,,,
greenonion,jeonju,104,False,origin,own,48.774995228842045,3.0,0.2,True,,29.448375988072655,6.0,,,,
greenonion,jinan,31,True,origin,,,,,,,,,,,,
greenonion,muju,16,True,origin,,,,,,,,,,,,
greenonion,namwon,54,False,origin,own,60.035875444844386,100.0,0.6,True,leafy_weather,67.91667601449082,6.0,3.0,0.3,95.98526712276669,
greenonion,sunchang,5,True,origin,,,,,,,,,,,,
greenonion,wanju,104,False,origin,own,44.06269476089659,2.0,0.2,False,leafy_weather,37.38480821171699,6.0,,,,
lettuce,buan,70,False,origin,own,33.10313275367979,5.0,0.6,False,,29.919417431736367,6.0,,,,
lettuce,gimje,104,False,origin,own,39.146003604435684,2.0,0.5,True,,32.86220654031633,6.0,,,,
lettuce,gochang,80,False,origin,own,40.925832360113866,30.0,0.6,False,leafy_weather,43.424217943403846,6.0,,,,
