year,ym,month,actual,pred,method
2022,2022-09,9,5194.005474892095,8912.598957357854,q55
2022,2022-10,10,3191.0285531273066,4152.416826189584,q55
2022,2022-11,11,2019.4117429570485,2946.96945839423,q55
2022,2022-12,12,5281.381163475159,3197.071726389453,q55
2023,2023-01,1,5637.419817242143,4783.513680150075,q55
2023,2023-02,2,3864.1014337678266,3368.644325267799,q55
2023,2023-03,3,3247.3347550611743,2129.726534993294,q55
2023,2023-04,4,2956.0400716665886,2198.18290106128,q55
2023,2023-05,5,2593.58892722053,2593.2945868943475,q55
2023,2023-06,6,3435.2640133088516,3131.2346454823296,q55
2023,2023-07,7,9958.97262643662,4830.485954545313,q55
2023,2023-08,8,6789.750961881995,10595.649772136563,q55
2023,2023-09,9,7134.070422942123,5504.232138661746,q55
2023,2023-10,10,5396.45378473103,4131.117401679758,q55
2023,2023-11,11,3737.8953464860106,3394.1548094650007,q55
2023,2023-12,12,3183.764694039986,3142.3406407531397,q55
2024,2024-01,1,4566.930488215524,3691.061789765312,q55
2024,2024-02,2,2857.18395087652,3164.7103724688395,q55
2024,2024-03,3,3605.557850886509,2516.0824527165323,q55
2024,2024-04,4,2354.3771130985897,2709.619970214124,q55
2024,2024-05,5,2432.454660984288,2698.101898406401,q55
2024,2024-06,6,2735.6046494374705,3263.6826835672227,q55
2024,2024-07,7,6768.9798004398635,5406.829532357289,q55
2024,2024-08,8,8280.265680714458,7749.846571975192,q55
2024,2024-09,9,13833.212743914744,7926.640009231942,q55
2024,2024-10,10,10924.003764858491,8085.537874251893,q55
2024,2024-11,11,3783.3289458904264,3716.6225511294924,q55
2024,2024-12,12,2953.1652291422224,2292.5383069722902,q55
2025,2025-01,1,2729.5997918576377,3564.4601494681337,q55
2025,2025-02,2,2477.8812422779765,2837.648290866742,q55
2025,2025-03,3,2339.8628511090333,2724.1798644120936,q55
2025,2025-04,4,2448.7021792584655,2552.564372460429,q55
2025,2025-05,5,3149.438992754348,2718.4075300356712,q55
2025,2025-06,6,2655.27192378158,3338.3958934384655,q55
2025,2025-07,7,4755.754584835337,5360.472391675028,q55
2025,2025-08,8,6177.820058675944,7380.818545708604,q55
2025,2025-09,9,9189.889464429847,10498.786714042268,q55
