ym,county,full,sample,n_obs_full,n_obs_sample,n_days_sample
2022-03,남원시,3060.786215919555,3268.016730276395,1189,135,3
2022-03,무주군,1476.0,,2,0,0
2022-03,부안군,1587.3655913978494,2075.3968253968255,24,3,3
2022-03,순창군,2458.074780756029,2290.322576446281,173,19,3
2022-03,완주군,2198.801079303125,2041.5655479269685,442,48,3
2022-03,익산시,2444.8795255147265,2714.8662062980784,666,79,3
2022-03,장수군,3196.00350786656,3301.764191336775,203,21,3
2022-03,전주시,2189.5044407318833,2022.9934546398893,196,23,3
2022-03,정읍시,2148.8010204081634,3488.125,16,2,1
2022-03,진안군,2430.245346869712,2783.108108108108,21,4,3
2022-04,고창군,2437.6726519337017,2562.5,6,1,1
2022-04,김제시,2707.259842519685,2776.26582278481,45,6,3
2022-04,남원시,3297.3128563383975,3227.966549518931,1117,106,3
2022-04,무주군,1261.280487804878,1750.0,7,2,2
2022-04,부안군,1685.528992878942,1623.9583333333333,45,5,3
2022-04,순창군,2892.0291873266965,2661.49793878327,182,20,3
2022-04,완주군,2565.2932056256923,2454.382718184337,496,52,3
2022-04,익산시,2979.0103155372353,2749.8488233576313,733,84,3
2022-04,임실군,1749.3902439024391,,4,0,0
2022-04,장수군,3330.910835816072,3249.856586579013,305,39,3
2022-04,전주시,2464.915600629654,2333.1529391607114,212,27,3
2022-04,정읍시,2829.005235602094,2679.4117647058824,31,3,3
2022-04,진안군,2045.4162987099644,2443.6305684713375,84,12,3
2022-05,김제시,1377.009788179294,846.4912280701755,59,2,1
2022-05,남원시,3048.060031742498,3363.560845901447,1137,83,2
2022-05,무주군,1082.4902723735408,1950.0,21,1,1
2022-05,부안군,1371.3039867109635,1947.7611940298507,65,3,2
2022-05,순창군,2229.968541777646,2436.21026344086,167,12,2
2022-05,완주군,1979.9822982520068,2132.5478185887705,498,37,2
2022-05,익산시,2669.9358885106044,3162.012121847234,741,60,2
2022-05,임실군,375.0,,2,0,0
2022-05,장수군,3206.64863370153,3034.333163751345,432,33,2
2022-05,전주시,1783.6564024263384,1667.601646650327,227,15,2
2022-05,정읍시,2734.4307692307693,1025.0,27,1,1
2022-05,진안군,2261.3804269890743,2303.2128373493974,133,6,2
2022-06,고창군,2157.786589932127,4110.714285714285,26,2,1
2022-06,김제시,2629.8368801477377,3036.5591612903227,66,5,2
2022-06,남원시,4288.935471109248,4160.996130830041,1388,119,2
2022-06,무주군,1711.1199378980891,2115.1162790697676,34,2,1
2022-06,부안군,4090.225563999284,3525.700934579439,53,4,2
2022-06,순창군,3070.981752556993,3372.0495693979933,189,14,2
2022-06,완주군,2788.611451890347,3226.9298590044127,455,37,2
2022-06,익산시,4131.186000761486,4884.965684700422,719,54,2
2022-06,임실군,1225.0,,3,0,0
2022-06,장수군,3922.9740792952766,3520.0684482929737,560,45,2
2022-06,전주시,2975.3493298967437,3583.257328990228,199,16,2
2022-06,정읍시,4005.969696969697,,23,0,0
2022-06,진안군,4209.903698,4818.070996083551,133,10,2
2022-07,고창군,4608.648648648648,5378.773584905661,18,3,2
2022-07,김제시,6343.2552455573505,7303.322784810127,63,5,3
2022-07,남원시,9285.076986606546,10041.898812986406,1785,219,3
2022-07,무주군,4341.978288834494,4852.032499999999,73,7,3
2022-07,부안군,6450.094084320898,7109.154821338385,116,13,3
2022-07,순창군,7591.39281749538,7309.813145146089,159,22,3
2022-07,완주군,6235.113957806721,7065.053492209592,417,50,3
2022-07,익산시,9574.96018555625,10764.010559361286,738,83,3
2022-07,장수군,8420.766235514193,8802.443876503972,740,81,3
2022-07,전주시,6550.698617167368,6717.08658106267,160,19,3
2022-07,정읍시,6298.263888888889,6523.958333333333,27,4,2
2022-07,진안군,8792.363637391305,9731.627528497409,215,22,3
2022-08,고창군,7013.291139240507,5894.047619047619,11,4,3
2022-08,김제시,8516.90217949489,8487.857142857143,43,2,2
2022-08,남원시,10048.147157254385,9811.867712909441,1853,208,3
2022-08,무주군,4660.933449774498,4972.905027932961,92,12,3
2022-08,부안군,5391.527374027756,4967.215817423231,96,10,3
2022-08,순창군,8758.730330078193,7891.546320185615,158,19,3
2022-08,완주군,8288.373243254073,8177.355193157642,504,54,3
2022-08,익산시,9354.349450713884,8608.461609491274,788,101,3
2022-08,장수군,9753.599476004389,9425.474346448733,822,91,3
2022-08,전주시,6974.543591180024,6111.500415014164,165,12,3
2022-08,정읍시,9936.756756756757,15000.0,13,1,1
2022-08,진안군,9271.661537873722,8937.378425569179,274,30,3
2022-09,고창군,8250.0,8250.0,1,1,1
2022-09,김제시,4177.544469120553,5310.714285714285,46,2,2
2022-09,남원시,6409.780769640257,8372.55865941046,1611,157,2
2022-09,무주군,3447.052846883469,5052.941176470588,81,5,2
2022-09,부안군,3787.3744038120562,7312.5,35,3,2
2022-09,순창군,4861.498473213305,5041.280531690141,138,11,2
2022-09,완주군,3995.662820898913,5008.204130572373,482,39,2
2022-09,익산시,4691.71603436649,7395.930422816579,756,65,2
2022-09,장수군,5623.645501485192,8495.932606624056,624,65,2
2022-09,전주시,3472.7275571195255,5500.73290288942,180,20,2
2022-09,정읍시,6254.588235294118,,18,0,0
2022-09,진안군,5799.6157582098895,7812.258062661834,258,20,2
2022-10,고창군,3078.5714285714284,,3,0,0
2022-10,김제시,2483.7038258998996,2544.1288295454547,48,7,3
2022-10,남원시,3962.7736929389253,4217.855885266839,1589,195,3
2022-10,무주군,1703.6060279870828,2343.181818181818,56,6,3
2022-10,부안군,1610.8003442340791,1892.2651933701657,16,5,2
2022-10,순창군,3079.541609633718,3230.361261452031,162,22,3
2022-10,완주군,2476.703107639525,2570.5191948529414,482,59,3
2022-10,익산시,2912.135210301511,3410.4248968266415,878,96,3
2022-10,장수군,3469.6941627868505,3517.2478183022777,614,68,3
2022-10,전주시,2381.8324319943817,2266.9966704166663,227,29,3
2022-10,정읍시,4435.777777777777,5355.0,22,3,3
2022-10,진안군,3795.8968541325053,4101.806394328358,196,24,3
2022-11,고창군,1350.3676470588234,1000.0,5,1,1
2022-11,김제시,1630.9928471354872,1217.3055994575045,81,11,3
2022-11,남원시,2430.716992482301,2325.9648550460142,1315,164,3
2022-11,무주군,1045.0402144772117,,13,0,0
2022-11,부안군,863.3828996282527,500.0,9,2,2
2022-11,순창군,1751.3968137193424,1602.634091137966,178,19,3
2022-11,완주군,1634.8152035470632,1518.7893146619942,407,49,3
2022-11,익산시,1835.002267472918,1726.6798368413477,892,109,3
2022-11,장수군,2426.4649773778847,2134.25924697033,423,55,3
2022-11,전주시,1493.803993187005,1279.313751317523,160,17,3
2022-11,정읍시,2517.365269461078,7500.0,15,2,2
2022-11,진안군,2548.110368682567,2254.589031671859,59,15,3
2022-12,고창군,3692.1794871794873,3025.0,12,1,1
2022-12,김제시,4269.535006661515,3421.992731521739,145,8,2
2022-12,남원시,6227.6799276026995,4918.306013357216,1267,88,2
2022-12,무주군,1274.1935483870968,,2,0,0
2022-12,순창군,4824.990136877017,3587.388529904306,145,10,2
2022-12,완주군,4597.7629090200235,3671.908535341453,471,33,2
2022-12,익산시,5128.130850155222,3649.426631162745,840,61,2
2022-12,장수군,5173.457980763814,2979.5104012131715,217,15,2
2022-12,전주시,3777.03831580737,3138.0308238770685,162,13,2
2022-12,정읍시,6034.574468085107,5000.0,14,2,1
2022-12,진안군,3865.4026101123595,,30,0,0
2023-01,고창군,3997.979797979798,7200.0,12,1,1
2023-01,김제시,5029.680064159858,6425.023763027295,159,13,2
2023-01,남원시,6789.16138213772,7267.045281680646,1073,91,2
2023-01,무주군,2962.5,,5,0,0
2023-01,부안군,4449.0291262135925,,5,0,0
2023-01,순창군,4969.7836678099375,5384.270669610008,148,13,2
2023-01,완주군,4514.957271132844,4553.136540446254,457,36,2
2023-01,익산시,5641.249330664677,5737.186061088122,709,47,2
2023-01,장수군,6670.00173423466,7394.097222222223,120,9,2
2023-01,전주시,4294.548025089354,5097.964734042554,193,15,2
2023-01,정읍시,6227.434210526316,10000.0,12,1,1
2023-01,진안군,4164.5723336853225,3750.0,24,1,1
2023-02,고창군,3028.272980501393,3225.0,11,1,1
2023-02,김제시,3678.542658714703,3616.4260969976904,184,15,2
2023-02,남원시,4442.784841531119,4169.511740353408,1175,99,2
2023-02,무주군,2657.8125,,2,0,0
2023-02,부안군,3052.341597796143,3419.811320754717,15,2,1
2023-02,순창군,3936.4603181676243,3546.574887878787,144,11,2
2023-02,완주군,3071.8702181486788,2952.0451559794997,478,44,2
2023-02,익산시,3919.491055921406,3720.7680421566724,754,63,2
2023-02,장수군,4083.9656947605426,3867.1265461465273,154,13,2
2023-02,전주시,3083.5769788936595,3352.507033157277,236,20,2
2023-02,정읍시,3606.5116279069766,4475.0,16,1,1
2023-02,진안군,2771.09375,3261.734693877551,19,4,1
2023-03,고창군,2188.503729706011,1337.8995433789955,19,3,1
2023-03,김제시,3190.228248373119,2091.9103089668615,221,16,2
2023-03,남원시,3560.8208658651397,2557.43938269091,1400,109,2
2023-03,무주군,1857.5396825396826,1874.0,14,2,1
2023-03,부안군,4867.111650485437,,7,0,0
2023-03,순창군,2978.712771570046,1997.7439642857144,177,12,2
2023-03,완주군,2658.3639657669846,1774.4835146527114,615,54,2
2023-03,익산시,3327.971660861181,2304.611159974883,786,57,2
2023-03,장수군,3529.134361870146,2748.9514348785874,221,18,2
2023-03,전주시,2725.899048733119,1855.8976749201277,293,25,2
2023-03,정읍시,2682.5369913686804,3273.6,33,3,2
2023-03,진안군,2447.2135007849292,500.0,40,1,1
2023-04,고창군,1500.0,,1,0,0
2023-04,김제시,2787.801071835945,2868.9699636016985,215,29,3
2023-04,남원시,3459.556020415952,3780.558585789181,1300,166,3
2023-04,무주군,1609.5454545454545,1489.2857142857142,8,2,2
2023-04,부안군,1387.809187279152,1602.112676056338,16,2,1
2023-04,순창군,2523.9174207010924,2877.372990048741,173,17,3
2023-04,완주군,2421.5431506909213,2800.4910478858383,638,77,3
2023-04,익산시,2891.186562312855,3200.5410305167175,847,93,3
2023-04,임실군,1375.0,,1,0,0
2023-04,장수군,3487.290681910091,3747.22239328611,278,34,3
2023-04,전주시,2142.013712923077,2255.433245171998,277,32,3
2023-04,정읍시,3203.0,3014.5833333333335,17,2,1
2023-04,진안군,2859.512655420181,2676.5625,50,4,2
2023-05,고창군,1302.9661016949153,1300.0,3,1,1
2023-05,김제시,2370.51465547559,2758.5770986662683,198,23,3
2023-05,남원시,2937.8580214466747,3339.907324873652,1526,157,3
2023-05,무주군,890.2777777777778,296.875,12,2,1
2023-05,부안군,1661.1675126903554,2125.0,25,3,3
2023-05,순창군,2201.649753637661,2567.5904607427055,162,17,3
2023-05,완주군,2161.2138497011038,2852.3695896043714,637,71,3
2023-05,익산시,2499.5106463065313,2796.2762061070634,951,107,3
2023-05,장수군,3169.243477312726,3743.498810477002,476,45,3
2023-05,전주시,1777.164751063111,2131.9903034001745,274,27,3
2023-05,정읍시,2544.1935483870966,6886.0,26,2,1
2023-05,진안군,2705.2849343697826,3625.969387755102,103,13,3
2023-06,고창군,2225.0,,1,0,0
2023-06,김제시,3321.624863685435,3889.382467630854,228,16,2
2023-06,남원시,3570.4414454304997,3310.9980599808778,1759,135,2
2023-06,무주군,2665.905172413793,,28,0,0
2023-06,부안군,2384.445490693605,2065.5818106508877,64,4,2
2023-06,순창군,3404.0459714226463,3253.223019693654,191,15,2
2023-06,완주군,2733.1416997031056,2366.1086962453064,521,38,2
2023-06,익산시,3559.765786994874,2954.0102193761904,821,64,2
2023-06,임실군,1635.0,,6,0,0
2023-06,장수군,3506.727399458181,3395.295579053254,555,42,2
2023-06,전주시,2743.3885166839077,2789.620735447761,222,19,2
2023-06,정읍시,1418.0034275921166,1722.2222222222222,31,5,2
2023-06,진안군,3469.697376223584,3340.8913207282912,194,10,2
2023-07,고창군,8181.435648239824,6584.8004559859155,31,6,2
2023-07,김제시,8811.72859219034,6403.54143413272,250,28,3
2023-07,남원시,10753.956339585102,9886.200792124422,1846,218,3
2023-07,무주군,5280.835832167832,5395.901639344263,91,7,3
2023-07,부안군,7857.631465166478,6180.824311907984,190,21,3
2023-07,순창군,8703.500617260128,7426.450236526945,180,17,3
2023-07,완주군,9059.771195531055,8067.370148721457,454,44,3
2023-07,익산시,9605.708746295917,8605.836403256577,750,83,3
2023-07,임실군,9216.87583050347,5037.921348314607,42,3,2
2023-07,장수군,10073.69529976368,9947.5746395525,699,75,3
2023-07,전주시,7656.743604228392,6094.781302272727,229,22,3
2023-07,정읍시,10450.153990708357,9250.0,29,1,1
2023-07,진안군,10531.970915811135,9396.40091791137,358,43,3
2023-08,고창군,7535.1954180478815,7373.717888461538,19,2,2
2023-08,김제시,5166.333141756313,3327.778688721804,218,15,2
2023-08,남원시,7753.790099612519,6224.030515074291,1954,185,3
2023-08,무주군,4021.481684439608,3936.40350877193,72,7,3
2023-08,부안군,4866.004140602345,3990.8361314907875,149,16,3
2023-08,순창군,5739.826026078837,4190.131252438325,133,13,3
2023-08,완주군,5343.500519827175,3614.11707565337,482,44,3
2023-08,익산시,6610.700666332099,4521.961476359068,911,78,3
2023-08,임실군,4999.52405341551,5279.42272765363,51,5,3
2023-08,장수군,7133.932050889136,6106.315696688609,881,84,3
2023-08,전주시,4001.067877088718,2752.5874433115823,196,17,3
2023-08,정읍시,8964.666666666666,14375.0,13,2,2
2023-08,진안군,6815.83211702409,4942.547339983823,409,32,2
2023-09,고창군,9040.70796460177,9082.35294117647,8,2,1
2023-09,김제시,6640.646105283161,6884.599082883578,172,25,3
2023-09,남원시,8623.506853130524,9236.675342443865,1727,219,3
2023-09,무주군,3424.9300699300697,4108.712121212121,50,10,3
2023-09,부안군,5508.8309856839005,5130.087309047619,114,17,3
2023-09,순창군,6808.964568671377,7589.871083563536,147,19,3
2023-09,완주군,5717.102270141859,6153.045671348745,475,61,3
2023-09,익산시,6466.6980592645,6543.942322556094,933,113,3
2023-09,임실군,5090.298033029613,4932.403846153846,34,5,2
2023-09,장수군,8160.632553733894,8479.000606055391,764,92,3
2023-09,전주시,5083.313996773936,5376.652630130597,168,25,3
2023-09,정읍시,4780.0,8378.333333333334,15,2,2
2023-09,진안군,6956.766700483442,7042.853114771152,354,47,3
2023-10,고창군,6120.058648465704,,23,0,0
2023-10,김제시,5155.986971978296,6309.669377173913,206,18,2
2023-10,남원시,6128.214936693567,6863.893915393654,1787,131,2
2023-10,무주군,2662.0238095238096,1422.972972972973,22,3,1
2023-10,부안군,3922.9299363057326,3750.0,14,1,1
2023-10,순창군,4651.15714345364,4551.546752057613,171,8,2
2023-10,완주군,4392.780607030439,4517.407514176742,414,26,2
2023-10,익산시,5202.200673223526,5923.3867513882415,1020,74,2
2023-10,임실군,3146.541786743516,3473.076923076923,25,2,2
2023-10,장수군,5874.538308759757,6897.252299369483,789,67,2
2023-10,전주시,4146.296044304494,5048.338701630674,186,16,2
2023-10,정읍시,6662.5,8425.0,11,1,1
2023-10,진안군,5959.868236690666,6461.168486163051,246,22,2
2023-11,고창군,4712.209302325581,,7,0,0
2023-11,김제시,3235.4370214770984,4421.8372066062175,186,14,2
2023-11,남원시,4378.069140838335,5953.943377467465,1669,126,2
2023-11,무주군,2021.078431372549,2300.0,17,1,1
2023-11,부안군,1349.6969696969697,,6,0,0
2023-11,순창군,3448.40379080243,4345.490977272728,140,9,2
2023-11,완주군,3148.2082739519706,3851.035054549983,504,36,2
