entity,ym,forecast_price,pred_lower_90,pred_upper_90,reference_mape_pct,spike_prob,spike_threshold,lag1_actual,lag12_actual,months_beyond_actual
jeonju,2026-10,17312.584745002874,7110.977687899478,42149.70201115096,30.82,0.348378109223633,20095.32490991558,False,True,2
jeonju,2026-11,9705.813808653478,3264.0034963307803,28861.127690012083,30.82,0.02853682164052207,20095.32490991558,False,True,3
jeonju,2026-12,8059.436563070622,2289.8469862452685,28366.313602756258,30.82,0.00845321097914098,20095.32490991558,False,True,4
jeonju,2027-01,11083.5475069202,2714.408482815022,45256.6465643957,30.82,0.05988925132887646,20095.32490991558,False,True,5
jeonju,2027-02,9515.484602861496,2037.5581892871492,44437.72340017032,30.82,0.02531952343227939,20095.32490991558,False,True,6
jeonju,2027-03,8350.115931406062,1580.3137394088337,44120.62891638464,30.82,0.010835094977968529,20095.32490991558,False,True,7
jeonju,2027-04,7871.197099293755,1327.9312611825646,46655.8364781298,30.82,0.007132369521102633,20095.32490991558,False,True,8
jeonju,2027-05,8369.619338269358,1267.5303826082034,55265.36391450366,30.82,0.011010660296551844,20095.32490991558,False,True,9
jeonju,2027-06,9625.630268670215,1316.253750961336,70391.2585255469,30.82,0.027149998211403403,20095.32490991558,False,True,10
jeonju,2027-07,13754.749499688322,1706.820755990029,110845.34397370626,30.82,0.1608009836910398,20095.32490991558,False,True,11
jeonju,2027-08,17163.186426154884,1941.043368258043,151761.1471830785,30.82,0.3400367860156056,20095.32490991558,False,True,12
jeonju,2027-09,21217.099505127946,2195.191126419159,205068.84616685723,30.82,0.5564683653645944,20095.32490991558,False,False,13
jeonju,2027-10,16891.463567177074,1604.2155895644753,177857.35489500617,30.82,0.32488339043577596,20095.32490991558,False,False,14
jeonju,2027-11,10154.011328558305,887.8679797489644,116125.31188436593,30.82,0.0371535940549923,20095.32490991558,False,False,15
jeonju,2027-12,8243.65430562825,665.4621122695513,102121.27040401103,30.82,0.009912375384180216,20095.32490991558,False,False,16
gimje,2026-09,21044.309810346,11132.31389556835,39781.75422902185,36.14,0.4743958820093084,21574.052391871828,True,True,1
gimje,2026-10,17071.98956327685,6937.203685454389,42013.01285988454,36.14,0.2727120489886925,21574.052391871828,False,True,2
gimje,2026-11,11885.093141564648,3944.6207008511715,35809.63790845262,36.14,0.0617569988963339,21574.052391871828,False,True,3
gimje,2026-12,10225.029861168912,2861.3178129548464,36539.539644436496,36.14,0.026875317097879936,21574.052391871828,False,True,4
